count,pattern_len,text_len,dictionary_len,function,time[ns]
0,10,550,5,naive_search,122600
0,10,550,5,sundays_search,36900
0,10,550,5,kmp_search,59300
0,10,550,5,python_naive_search,49300
0,11,550,5,naive_search,122200
0,11,550,5,sundays_search,51500
0,11,550,5,kmp_search,65600
0,11,550,5,python_naive_search,58800
0,5,600,5,naive_search,130900
0,5,600,5,sundays_search,70300
0,5,600,5,kmp_search,70000
0,5,600,5,python_naive_search,50200
0,6,600,5,naive_search,150100
0,6,600,5,sundays_search,58500
0,6,600,5,kmp_search,68600
0,6,600,5,python_naive_search,50800
0,7,600,5,naive_search,136000
0,7,600,5,sundays_search,53500
0,7,600,5,kmp_search,63100
0,7,600,5,python_naive_search,60500
0,8,600,5,naive_search,130400
0,8,600,5,sundays_search,52600
0,8,600,5,kmp_search,69400
0,8,600,5,python_naive_search,50500
0,9,600,5,naive_search,132200
0,9,600,5,sundays_search,56500
0,9,600,5,kmp_search,70900
0,9,600,5,python_naive_search,52100
0,10,600,5,naive_search,130700
0,10,600,5,sundays_search,57600
0,10,600,5,kmp_search,73600
0,10,600,5,python_naive_search,50200
0,11,600,5,naive_search,131700
0,11,600,5,sundays_search,53000
0,11,600,5,kmp_search,71000
0,11,600,5,python_naive_search,63300
1,5,650,5,naive_search,147500
1,5,650,5,sundays_search,63100
1,5,650,5,kmp_search,66700
1,5,650,5,python_naive_search,65300
0,6,650,5,naive_search,152600
